Degray Reservoir Calibration Data      
Param#                              2      
Br   RM   DateTime         Depth   Temp
                            (m)   Deg C
1   150   1980-02-06 12:00   0    7.9
1   150   1980-02-06 12:00   1    7.7
1   150   1980-02-06 12:00   2    7.5
1   150   1980-02-06 12:00   3    7.4
1   150   1980-02-06 12:00   4    7.4
1   150   1980-02-06 12:00   5    7.4
1   150   1980-02-06 12:00   6    7.3
1   150   1980-02-06 12:00   7    7.3
1   150   1980-02-06 12:00   8    7.3
1   150   1980-02-06 12:00   9    7.3
1   150   1980-02-06 12:00   10   7.3
1   150   1980-02-06 12:00   11   7.3
1   150   1980-02-06 12:00   12   7.3
1   150   1980-02-06 12:00   13   7.3
1   150   1980-02-06 12:00   14   7.3
1   150   1980-02-06 12:00   15   7.3
1   150   1980-02-06 12:00   16   7.3
1   150   1980-02-06 12:00   17   7.3
1   150   1980-02-06 12:00   18   7.3
1   150   1980-02-06 12:00   19   7.3
1   150   1980-02-06 12:00   20   7.3
1   150   1980-02-06 12:00   21   7.3
1   150   1980-02-06 12:00   22   7.3
1   150   1980-02-06 12:00   23   7.3
1   150   1980-02-06 12:00   24   7.3
1   150   1980-02-06 12:00   25   7.3
1   150   1980-02-06 12:00   26   7.3
1   150   1980-02-06 12:00   27   7.2
1   150   1980-02-06 12:00   28   7.2
1   150   1980-02-06 12:00   29   7.2
1   150   1980-02-06 12:00   30   7
1   150   1980-02-06 12:00   31   6.9
1   150   1980-02-06 12:00   32   6.9
1   150   1980-02-06 12:00   33   6.8
1   150   1980-02-06 12:00   34   6.8
1   150   1980-02-06 12:00   35   6.8
1   150   1980-02-06 12:00   36   6.8
1   150   1980-02-06 12:00   37   6.7
1   150   1980-02-06 12:00   38   6.7
1   150   1980-02-06 12:00   39   6.7
1   150   1980-02-06 12:00   40   6.7
1   150   1980-02-06 12:00   41   6.7
1   150   1980-02-06 12:00   42   6.7
1   150   1980-02-06 12:00   43   6.6
1   150   1980-02-06 12:00   44   6.6
1   150   1980-02-06 12:00   45   6.6
1   150   1980-02-06 12:00   46   6.6
1   150   1980-02-20 12:00   0   7.3
1   150   1980-02-20 12:00   1   7.2
1   150   1980-02-20 12:00   2   7
1   150   1980-02-20 12:00   3   6.8
1   150   1980-02-20 12:00   4   6.8
1   150   1980-02-20 12:00   5   6.8
1   150   1980-02-20 12:00   6   6.7
1   150   1980-02-20 12:00   7   6.7
1   150   1980-02-20 12:00   8   6.7
1   150   1980-02-20 12:00   9   6.6
1   150   1980-02-20 12:00   11   6.6
1   150   1980-02-20 12:00   12   6.6
1   150   1980-02-20 12:00   13   6.6
1   150   1980-02-20 12:00   14   6.6
1   150   1980-02-20 12:00   15   6.6
1   150   1980-02-20 12:00   16   6.6
1   150   1980-02-20 12:00   17   6.6
1   150   1980-02-20 12:00   18   6.6
1   150   1980-02-20 12:00   19   6.6
1   150   1980-02-20 12:00   20   6.6
1   150   1980-02-20 12:00   21   6.6
1   150   1980-02-20 12:00   22   6.6
1   150   1980-02-20 12:00   23   6.6
1   150   1980-02-20 12:00   24   6.6
1   150   1980-02-20 12:00   25   6.5
1   150   1980-02-20 12:00   26   6.5
1   150   1980-02-20 12:00   27   6.5
1   150   1980-02-20 12:00   28   6.5
1   150   1980-02-20 12:00   29   6.5
1   150   1980-02-20 12:00   30   6.5
1   150   1980-02-20 12:00   31   6.5
1   150   1980-02-20 12:00   32   6.5
1   150   1980-02-20 12:00   33   6.5
1   150   1980-02-20 12:00   34   6.5
1   150   1980-02-20 12:00   35   6.5
1   150   1980-02-20 12:00   36   6.5
1   150   1980-02-20 12:00   37   6.5
1   150   1980-02-20 12:00   38   6.5
1   150   1980-02-20 12:00   39   6.5
1   150   1980-02-20 12:00   40   6.5
1   150   1980-02-20 12:00   41   6.5
1   150   1980-02-20 12:00   42   6.5
1   150   1980-02-20 12:00   43   6.5
1   150   1980-02-20 12:00   44   6.5
1   150   1980-02-20 12:00   45   6.5
1   150   1980-02-20 12:00   46   6.5
1   150   1980-02-20 12:00   47   6.5
1   150   1980-02-20 12:00   48   6.5
1   150   1980-02-20 12:00   49   6.5
1   150   1980-03-04 12:00   0   7.4
1   150   1980-03-04 12:00   1   7.4
1   150   1980-03-04 12:00   2   7.4
1   150   1980-03-04 12:00   3   7.4
1   150   1980-03-04 12:00   4   7.4
1   150   1980-03-04 12:00   5   7.4
1   150   1980-03-04 12:00   6   7.3
1   150   1980-03-04 12:00   7   7.3
1   150   1980-03-04 12:00   8   7.3
1   150   1980-03-04 12:00   9   7.3
1   150   1980-03-04 12:00   10   7.3
1   150   1980-03-04 12:00   11   7.3
1   150   1980-03-04 12:00   12   7.3
1   150   1980-03-04 12:00   13   7.3
1   150   1980-03-04 12:00   14   7.3
1   150   1980-03-04 12:00   15   7.3
1   150   1980-03-04 12:00   16   7.2
1   150   1980-03-04 12:00   17   7.2
1   150   1980-03-04 12:00   18   7.2
1   150   1980-03-04 12:00   19   7.1
1   150   1980-03-04 12:00   20   7.1
1   150   1980-03-04 12:00   21   7
1   150   1980-03-04 12:00   22   7
1   150   1980-03-04 12:00   23   7
1   150   1980-03-04 12:00   24   6.9
1   150   1980-03-04 12:00   25   6.8
1   150   1980-03-04 12:00   26   6.7
1   150   1980-03-04 12:00   27   6.7
1   150   1980-03-04 12:00   28   6.7
1   150   1980-03-04 12:00   29   6.7
1   150   1980-03-04 12:00   30   6.6
1   150   1980-03-04 12:00   31   6.6
1   150   1980-03-04 12:00   32   6.6
1   150   1980-03-04 12:00   33   6.6
1   150   1980-03-04 12:00   34   6.6
1   150   1980-03-04 12:00   35   6.6
1   150   1980-03-04 12:00   36   6.6
1   150   1980-03-04 12:00   37   6.6
1   150   1980-03-04 12:00   38   6.5
1   150   1980-03-04 12:00   39   6.5
1   150   1980-03-04 12:00   40   6.5
1   150   1980-03-04 12:00   41   6.5
1   150   1980-03-04 12:00   42   6.5
1   150   1980-03-04 12:00   43   6.5
1   150   1980-03-04 12:00   44   6.5
1   150   1980-03-04 12:00   45   6.5
