Degray Reservoir Calibration Data
Param#                            2
Br	RM	JDay	Depth	Temp
			(m)	Deg C
1	150.0	36.5	0.0	7.9
1	150.0	36.5	1.0	7.7
1	150.0	36.5	2.0	7.5
1	150.0	36.5	3.0	7.4
1	150.0	36.5	4.0	7.4
1	150.0	36.5	5.0	7.4
1	150.0	36.5	6.0	7.3
1	150.0	36.5	7.0	7.3
1	150.0	36.5	8.0	7.3
1	150.0	36.5	9.0	7.3
1	150.0	36.5	10.0	7.3
1	150.0	36.5	11.0	7.3
1	150.0	36.5	12.0	7.3
1	150.0	36.5	13.0	7.3
1	150.0	36.5	14.0	7.3
1	150.0	36.5	15.0	7.3
1	150.0	36.5	16.0	7.3
1	150.0	36.5	17.0	7.3
1	150.0	36.5	18.0	7.3
1	150.0	36.5	19.0	7.3
1	150.0	36.5	20.0	7.3
1	150.0	36.5	21.0	7.3
1	150.0	36.5	22.0	7.3
1	150.0	36.5	23.0	7.3
1	150.0	36.5	24.0	7.3
1	150.0	36.5	25.0	7.3
1	150.0	36.5	26.0	7.3
1	150.0	36.5	27.0	7.2
1	150.0	36.5	28.0	7.2
1	150.0	36.5	29.0	7.2
1	150.0	36.5	30.0	7.0
1	150.0	36.5	31.0	6.9
1	150.0	36.5	32.0	6.9
1	150.0	36.5	33.0	6.8
1	150.0	36.5	34.0	6.8
1	150.0	36.5	35.0	6.8
1	150.0	36.5	36.0	6.8
1	150.0	36.5	37.0	6.7
1	150.0	36.5	38.0	6.7
1	150.0	36.5	39.0	6.7
1	150.0	36.5	40.0	6.7
1	150.0	36.5	41.0	6.7
1	150.0	36.5	42.0	6.7
1	150.0	36.5	43.0	6.6
1	150.0	36.5	44.0	6.6
1	150.0	36.5	45.0	6.6
1	150.0	36.5	46.0	6.6
1	150.0	50.5	0.0	7.3
1	150.0	50.5	1.0	7.2
1	150.0	50.5	2.0	7.0
1	150.0	50.5	3.0	6.8
1	150.0	50.5	4.0	6.8
1	150.0	50.5	5.0	6.8
1	150.0	50.5	6.0	6.7
1	150.0	50.5	7.0	6.7
1	150.0	50.5	8.0	6.7
1	150.0	50.5	9.0	6.6
1	150.0	50.5	11.0	6.6
1	150.0	50.5	12.0	6.6
1	150.0	50.5	13.0	6.6
1	150.0	50.5	14.0	6.6
1	150.0	50.5	15.0	6.6
1	150.0	50.5	16.0	6.6
1	150.0	50.5	17.0	6.6
1	150.0	50.5	18.0	6.6
1	150.0	50.5	19.0	6.6
1	150.0	50.5	20.0	6.6
1	150.0	50.5	21.0	6.6
1	150.0	50.5	22.0	6.6
1	150.0	50.5	23.0	6.6
1	150.0	50.5	24.0	6.6
1	150.0	50.5	25.0	6.5
1	150.0	50.5	26.0	6.5
1	150.0	50.5	27.0	6.5
1	150.0	50.5	28.0	6.5
1	150.0	50.5	29.0	6.5
1	150.0	50.5	30.0	6.5
1	150.0	50.5	31.0	6.5
1	150.0	50.5	32.0	6.5
1	150.0	50.5	33.0	6.5
1	150.0	50.5	34.0	6.5
1	150.0	50.5	35.0	6.5
1	150.0	50.5	36.0	6.5
1	150.0	50.5	37.0	6.5
1	150.0	50.5	38.0	6.5
1	150.0	50.5	39.0	6.5
1	150.0	50.5	40.0	6.5
1	150.0	50.5	41.0	6.5
1	150.0	50.5	42.0	6.5
1	150.0	50.5	43.0	6.5
1	150.0	50.5	44.0	6.5
1	150.0	50.5	45.0	6.5
1	150.0	50.5	46.0	6.5
1	150.0	50.5	47.0	6.5
1	150.0	50.5	48.0	6.5
1	150.0	50.5	49.0	6.5
1	150.0	63.5	0.0	7.4
1	150.0	63.5	1.0	7.4
1	150.0	63.5	2.0	7.4
1	150.0	63.5	3.0	7.4
1	150.0	63.5	4.0	7.4
1	150.0	63.5	5.0	7.4
1	150.0	63.5	6.0	7.3
1	150.0	63.5	7.0	7.3
1	150.0	63.5	8.0	7.3
1	150.0	63.5	9.0	7.3
1	150.0	63.5	10.0	7.3
1	150.0	63.5	11.0	7.3
1	150.0	63.5	12.0	7.3
1	150.0	63.5	13.0	7.3
1	150.0	63.5	14.0	7.3
1	150.0	63.5	15.0	7.3
1	150.0	63.5	16.0	7.2
1	150.0	63.5	17.0	7.2
1	150.0	63.5	18.0	7.2
1	150.0	63.5	19.0	7.1
1	150.0	63.5	20.0	7.1
1	150.0	63.5	21.0	7.0
1	150.0	63.5	22.0	7.0
1	150.0	63.5	23.0	7.0
1	150.0	63.5	24.0	6.9
1	150.0	63.5	25.0	6.8
1	150.0	63.5	26.0	6.7
1	150.0	63.5	27.0	6.7
1	150.0	63.5	28.0	6.7
1	150.0	63.5	29.0	6.7
1	150.0	63.5	30.0	6.6
1	150.0	63.5	31.0	6.6
1	150.0	63.5	32.0	6.6
1	150.0	63.5	33.0	6.6
1	150.0	63.5	34.0	6.6
1	150.0	63.5	35.0	6.6
1	150.0	63.5	36.0	6.6
1	150.0	63.5	37.0	6.6
1	150.0	63.5	38.0	6.5
1	150.0	63.5	39.0	6.5
1	150.0	63.5	40.0	6.5
1	150.0	63.5	41.0	6.5
1	150.0	63.5	42.0	6.5
1	150.0	63.5	43.0	6.5
1	150.0	63.5	44.0	6.5
1	150.0	63.5	45.0	6.5
1	150.0	63.5	46.0	6.5
1	150.0	63.5	47.0	6.5
1	150.0	63.5	48.0	6.5
1	150.0	77.5	0.0	11.0
1	150.0	77.5	1.0	10.5
1	150.0	77.5	2.0	9.9
1	150.0	77.5	3.0	9.2
1	150.0	77.5	4.0	9.2
1	150.0	77.5	5.0	9.1
1	150.0	77.5	6.0	9.0
1	150.0	77.5	7.0	9.0
1	150.0	77.5	8.0	9.0
1	150.0	77.5	9.0	8.9
1	150.0	77.5	10.0	8.9
1	150.0	77.5	11.0	8.8
1	150.0	77.5	12.0	8.8
1	150.0	77.5	13.0	8.6
1	150.0	77.5	14.0	8.6
1	150.0	77.5	15.0	8.5
1	150.0	77.5	16.0	8.5
1	150.0	77.5	17.0	8.4
1	150.0	77.5	18.0	7.8
1	150.0	77.5	19.0	7.7
1	150.0	77.5	20.0	7.6
1	150.0	77.5	21.0	7.5
1	150.0	77.5	22.0	7.4
1	150.0	77.5	23.0	7.3
1	150.0	77.5	24.0	7.2
1	150.0	77.5	25.0	7.1
1	150.0	77.5	26.0	7.1
1	150.0	77.5	27.0	7.0
1	150.0	77.5	28.0	7.0
1	150.0	77.5	29.0	6.9
1	150.0	77.5	30.0	6.9
1	150.0	77.5	31.0	6.9
1	150.0	77.5	32.0	6.8
1	150.0	77.5	33.0	6.8
1	150.0	77.5	34.0	6.8
1	150.0	77.5	35.0	6.7
1	150.0	77.5	36.0	6.8
1	150.0	77.5	37.0	6.7
1	150.0	77.5	38.0	6.7
1	150.0	77.5	39.0	6.7
1	150.0	77.5	40.0	6.7
1	150.0	77.5	41.0	6.7
1	150.0	77.5	42.0	6.7
1	150.0	77.5	43.0	6.7
1	150.0	77.5	44.0	6.7
1	150.0	77.5	45.0	6.7
1	150.0	77.5	46.0	6.7
1	150.0	77.5	47.0	6.7
1	150.0	77.5	48.0	6.7
1	150.0	91.5	0.0	12.2
1	150.0	91.5	1.0	12.0
1	150.0	91.5	2.0	11.7
1	150.0	91.5	3.0	11.0
1	150.0	91.5	4.0	10.9
1	150.0	91.5	5.0	10.8
1	150.0	91.5	6.0	10.4
1	150.0	91.5	7.0	10.4
1	150.0	91.5	8.0	10.2
1	150.0	91.5	9.0	10.2
1	150.0	91.5	10.0	10.1
1	150.0	91.5	11.0	10.1
1	150.0	91.5	12.0	10.1
1	150.0	91.5	13.0	10.0
1	150.0	91.5	14.0	10.0
1	150.0	91.5	15.0	9.9
1	150.0	91.5	16.0	9.9
1	150.0	91.5	17.0	9.6
1	150.0	91.5	18.0	9.2
1	150.0	91.5	19.0	9.0
1	150.0	91.5	20.0	8.5
1	150.0	91.5	21.0	8.2
1	150.0	91.5	22.0	8.1
1	150.0	91.5	23.0	7.8
1	150.0	91.5	24.0	7.5
1	150.0	91.5	25.0	7.4
1	150.0	91.5	26.0	7.3
1	150.0	91.5	27.0	7.2
1	150.0	91.5	28.0	7.2
1	150.0	91.5	29.0	7.2
1	150.0	91.5	30.0	7.2
1	150.0	91.5	31.0	7.2
1	150.0	91.5	32.0	7.2
1	150.0	91.5	33.0	7.1
1	150.0	91.5	34.0	7.1
1	150.0	91.5	35.0	7.1
1	150.0	91.5	36.0	7.1
1	150.0	91.5	37.0	7.1
1	150.0	91.5	38.0	7.1
1	150.0	91.5	39.0	7.1
1	150.0	91.5	40.0	7.1
1	150.0	91.5	41.0	7.1
1	150.0	91.5	42.0	7.1
1	150.0	91.5	43.0	7.1
1	150.0	91.5	44.0	7.1
1	150.0	91.5	45.0	7.1
1	150.0	91.5	46.0	7.1
1	150.0	91.5	47.0	7.1
1	150.0	91.5	48.0	7.1
1	150.0	105.5	0.0	14.2
1	150.0	105.5	1.0	14.1
1	150.0	105.5	2.0	13.9
1	150.0	105.5	3.0	13.5
1	150.0	105.5	4.0	13.2
1	150.0	105.5	5.0	13.1
1	150.0	105.5	6.0	13.1
1	150.0	105.5	7.0	13.0
1	150.0	105.5	8.0	13.0
1	150.0	105.5	9.0	12.9
1	150.0	105.5	10.0	12.9
1	150.0	105.5	11.0	12.9
1	150.0	105.5	12.0	12.9
1	150.0	105.5	13.0	12.8
1	150.0	105.5	14.0	12.8
1	150.0	105.5	15.0	12.1
1	150.0	105.5	16.0	10.7
1	150.0	105.5	17.0	9.8
1	150.0	105.5	18.0	9.5
1	150.0	105.5	19.0	9.3
1	150.0	105.5	20.0	8.8
1	150.0	105.5	21.0	8.7
1	150.0	105.5	22.0	8.5
1	150.0	105.5	23.0	8.2
1	150.0	105.5	24.0	8.0
1	150.0	105.5	25.0	7.8
1	150.0	105.5	26.0	7.7
1	150.0	105.5	27.0	7.6
1	150.0	105.5	28.0	7.5
1	150.0	105.5	29.0	7.5
1	150.0	105.5	30.0	7.5
1	150.0	105.5	31.0	7.4
1	150.0	105.5	32.0	7.4
1	150.0	105.5	33.0	7.4
1	150.0	105.5	34.0	7.4
1	150.0	105.5	35.0	7.4
1	150.0	105.5	36.0	7.4
1	150.0	105.5	37.0	7.4
1	150.0	105.5	38.0	7.4
1	150.0	105.5	39.0	7.4
1	150.0	105.5	40.0	7.4
1	150.0	105.5	41.0	7.4
1	150.0	105.5	42.0	7.4
1	150.0	105.5	43.0	7.3
1	150.0	105.5	44.0	7.3
1	150.0	105.5	45.0	7.3
1	150.0	105.5	46.0	7.3
1	150.0	119.5	0.0	19.8
1	150.0	119.5	1.0	18.7
1	150.0	119.5	2.0	17.9
1	150.0	119.5	3.0	17.5
1	150.0	119.5	4.0	17.5
1	150.0	119.5	5.0	17.4
1	150.0	119.5	6.0	17.4
1	150.0	119.5	7.0	17.3
1	150.0	119.5	8.0	17.0
1	150.0	119.5	9.0	13.4
1	150.0	119.5	10.0	13.0
1	150.0	119.5	11.0	12.7
1	150.0	119.5	12.0	12.7
1	150.0	119.5	13.0	12.5
1	150.0	119.5	14.0	12.2
1	150.0	119.5	15.0	11.4
1	150.0	119.5	16.0	10.5
1	150.0	119.5	17.0	10.1
1	150.0	119.5	18.0	9.6
1	150.0	119.5	19.0	9.3
1	150.0	119.5	20.0	9.0
1	150.0	119.5	21.0	8.6
1	150.0	119.5	22.0	8.2
1	150.0	119.5	23.0	8.1
1	150.0	119.5	24.0	8.0
1	150.0	119.5	25.0	7.8
1	150.0	119.5	26.0	7.8
1	150.0	119.5	27.0	7.7
1	150.0	119.5	28.0	7.7
1	150.0	119.5	29.0	7.6
1	150.0	119.5	30.0	7.6
1	150.0	119.5	31.0	7.6
1	150.0	119.5	32.0	7.6
1	150.0	119.5	33.0	7.5
1	150.0	119.5	34.0	7.5
1	150.0	119.5	35.0	7.5
1	150.0	119.5	36.0	7.5
1	150.0	119.5	37.0	7.5
1	150.0	119.5	38.0	7.5
1	150.0	119.5	39.0	7.5
1	150.0	119.5	40.0	7.5
1	150.0	119.5	41.0	7.5
1	150.0	119.5	42.0	7.4
1	150.0	119.5	43.0	7.4
1	150.0	119.5	44.0	7.4
1	150.0	119.5	45.0	7.4
1	150.0	119.5	46.0	7.4
1	150.0	119.5	47.0	7.4
1	150.0	135.5	0.0	20.6
1	150.0	135.5	1.0	20.6
1	150.0	135.5	2.0	20.6
1	150.0	135.5	3.0	20.6
1	150.0	135.5	4.0	20.6
1	150.0	135.5	5.0	20.5
1	150.0	135.5	6.0	19.6
1	150.0	135.5	7.0	16.4
1	150.0	135.5	8.0	15.9
1	150.0	135.5	9.0	14.1
1	150.0	135.5	10.0	13.6
1	150.0	135.5	11.0	13.2
1	150.0	135.5	12.0	12.8
1	150.0	135.5	13.0	12.6
1	150.0	135.5	14.0	12.3
1	150.0	135.5	15.0	11.5
1	150.0	135.5	16.0	10.8
